MEDIDAS#es,MEDIDAS_CODE,EDAD#es,EDAD_CODE,PAIS_RESIDENCIA#es,PAIS_RESIDENCIA_CODE,TIME_PERIOD#es,TIME_PERIOD_CODE,SEXO#es,SEXO_CODE,TERRITORIO#es,TERRITORIO_CODE,OBS_VALUE,CONFIDENCIALIDAD_OBSERVACION#es,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE,NOTAS_OBSERVACION
Turistas,TURISTAS,44 años o más,Y_GE44,Otro,_O,2018 Tercer trimestre,2018-Q3,Total,_T,Canarias,ES70,413114,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Otro,_O,2018 Cuarto trimestre,2018-Q4,Total,_T,Canarias,ES70,851379,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Otro,_O,2018,2018,Total,_T,Canarias,ES70,2742677,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Otro,_O,2019 Primer trimestre,2019-Q1,Total,_T,Canarias,ES70,884518,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Otro,_O,2019 Segundo trimestre,2019-Q2,Total,_T,Canarias,ES70,531279,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Otro,_O,2019 Tercer trimestre,2019-Q3,Total,_T,Canarias,ES70,413243,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Otro,_O,2019 Cuarto trimestre,2019-Q4,Total,_T,Canarias,ES70,898865,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Otro,_O,2019,2019,Total,_T,Canarias,ES70,2727905,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Otro,_O,2020 Primer trimestre,2020-Q1,Total,_T,Canarias,ES70,726203,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Otro,_O,2020 Segundo trimestre,2020-Q2,Total,_T,Canarias,ES70,,,Valor no disponible; el dato no existe,M,
Turistas,TURISTAS,44 años o más,Y_GE44,Otro,_O,2020 Tercer trimestre,2020-Q3,Total,_T,Canarias,ES70,76432,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Otro,_O,2020 Cuarto trimestre,2020-Q4,Total,_T,Canarias,ES70,85288,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Otro,_O,2020,2020,Total,_T,Canarias,ES70,887922,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Otro,_O,2021 Primer trimestre,2021-Q1,Total,_T,Canarias,ES70,72350,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Otro,_O,2021 Segundo trimestre,2021-Q2,Total,_T,Canarias,ES70,110291,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Otro,_O,2021 Tercer trimestre,2021-Q3,Total,_T,Canarias,ES70,235123,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Otro,_O,2021 Cuarto trimestre,2021-Q4,Total,_T,Canarias,ES70,603340,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Otro,_O,2021,2021,Total,_T,Canarias,ES70,1021104,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Otro,_O,2022 Primer trimestre,2022-Q1,Total,_T,Canarias,ES70,622095,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Otro,_O,2022 Segundo trimestre,2022-Q2,Total,_T,Canarias,ES70,535478,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Otro,_O,2022 Tercer trimestre,2022-Q3,Total,_T,Canarias,ES70,410501,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Otro,_O,2022 Cuarto trimestre,2022-Q4,Total,_T,Canarias,ES70,786011,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Otro,_O,2022,2022,Total,_T,Canarias,ES70,2354085,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Otro,_O,2023 Primer trimestre,2023-Q1,Total,_T,Canarias,ES70,868071,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Otro,_O,2023 Segundo trimestre,2023-Q2,Total,_T,Canarias,ES70,484752,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Otro,_O,2023 Tercer trimestre,2023-Q3,Total,_T,Canarias,ES70,410926,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Otro,_O,2023 Cuarto trimestre,2023-Q4,Total,_T,Canarias,ES70,856634,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Otro,_O,2023,2023,Total,_T,Canarias,ES70,2620383,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Otro,_O,2024 Primer trimestre,2024-Q1,Total,_T,Canarias,ES70,946240,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Otro,_O,2024 Segundo trimestre,2024-Q2,Total,_T,Canarias,ES70,533100,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Otro,_O,2024 Tercer trimestre,2024-Q3,Total,_T,Canarias,ES70,445489,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Otro,_O,2024 Cuarto trimestre,2024-Q4,Total,_T,Canarias,ES70,944024,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Otro,_O,2024,2024,Total,_T,Canarias,ES70,2868852,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Otro,_O,2025 Primer trimestre,2025-Q1,Total,_T,Canarias,ES70,994146,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Otro,_O,2025 Segundo trimestre,2025-Q2,Total,_T,Canarias,ES70,613347,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Otro,_O,2025 Tercer trimestre,2025-Q3,Total,_T,Canarias,ES70,538603,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Otro,_O,2025 Cuarto trimestre,2025-Q4,Total,_T,Canarias,ES70,963143,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Otro,_O,2025,2025,Total,_T,Canarias,ES70,3109591,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Reino Unido,GB,2018 Primer trimestre,2018-Q1,Total,_T,Canarias,ES70,719881,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Reino Unido,GB,2018 Segundo trimestre,2018-Q2,Total,_T,Canarias,ES70,591925,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Reino Unido,GB,2018 Tercer trimestre,2018-Q3,Total,_T,Canarias,ES70,502738,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Reino Unido,GB,2018 Cuarto trimestre,2018-Q4,Total,_T,Canarias,ES70,711739,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Reino Unido,GB,2018,2018,Total,_T,Canarias,ES70,2526283,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Reino Unido,GB,2019 Primer trimestre,2019-Q1,Total,_T,Canarias,ES70,687066,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Reino Unido,GB,2019 Segundo trimestre,2019-Q2,Total,_T,Canarias,ES70,597272,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Reino Unido,GB,2019 Tercer trimestre,2019-Q3,Total,_T,Canarias,ES70,525003,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Reino Unido,GB,2019 Cuarto trimestre,2019-Q4,Total,_T,Canarias,ES70,760958,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Reino Unido,GB,2019,2019,Total,_T,Canarias,ES70,2570299,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Reino Unido,GB,2020 Primer trimestre,2020-Q1,Total,_T,Canarias,ES70,567058,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Reino Unido,GB,2020 Segundo trimestre,2020-Q2,Total,_T,Canarias,ES70,,,Valor no disponible; el dato no existe,M,
Turistas,TURISTAS,44 años o más,Y_GE44,Reino Unido,GB,2020 Tercer trimestre,2020-Q3,Total,_T,Canarias,ES70,44782,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Reino Unido,GB,2020 Cuarto trimestre,2020-Q4,Total,_T,Canarias,ES70,78191,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Reino Unido,GB,2020,2020,Total,_T,Canarias,ES70,690031,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Reino Unido,GB,2021 Primer trimestre,2021-Q1,Total,_T,Canarias,ES70,3995,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Reino Unido,GB,2021 Segundo trimestre,2021-Q2,Total,_T,Canarias,ES70,9050,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Reino Unido,GB,2021 Tercer trimestre,2021-Q3,Total,_T,Canarias,ES70,146093,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Reino Unido,GB,2021 Cuarto trimestre,2021-Q4,Total,_T,Canarias,ES70,432441,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Reino Unido,GB,2021,2021,Total,_T,Canarias,ES70,591579,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Reino Unido,GB,2022 Primer trimestre,2022-Q1,Total,_T,Canarias,ES70,539809,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Reino Unido,GB,2022 Segundo trimestre,2022-Q2,Total,_T,Canarias,ES70,657994,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Reino Unido,GB,2022 Tercer trimestre,2022-Q3,Total,_T,Canarias,ES70,520865,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Reino Unido,GB,2022 Cuarto trimestre,2022-Q4,Total,_T,Canarias,ES70,721831,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Reino Unido,GB,2022,2022,Total,_T,Canarias,ES70,2440500,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Reino Unido,GB,2023 Primer trimestre,2023-Q1,Total,_T,Canarias,ES70,755099,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Reino Unido,GB,2023 Segundo trimestre,2023-Q2,Total,_T,Canarias,ES70,603924,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Reino Unido,GB,2023 Tercer trimestre,2023-Q3,Total,_T,Canarias,ES70,553449,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Reino Unido,GB,2023 Cuarto trimestre,2023-Q4,Total,_T,Canarias,ES70,849535,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Reino Unido,GB,2023,2023,Total,_T,Canarias,ES70,2762006,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Reino Unido,GB,2024 Primer trimestre,2024-Q1,Total,_T,Canarias,ES70,860799,,,,
Turistas,TURISTAS,44 años o más,Y_GE44,Reino Unido,GB,2024 Segundo trimestre,2024-Q2,Total,_T,Canarias,ES70,640430,,,,
