PAIS_RESIDENCIA#es,PAIS_RESIDENCIA_CODE,TERRITORIO#es,TERRITORIO_CODE,TIME_PERIOD#es,TIME_PERIOD_CODE,NIVEL_INGRESOS#es,NIVEL_INGRESOS_CODE,MEDIDAS#es,MEDIDAS_CODE,OBS_VALUE,NOTAS_OBSERVACION,CONFIDENCIALIDAD_OBSERVACION#es,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE
Otro,_O,Canarias,ES70,2020 Segundo trimestre,2020-Q2,Total,_T,Turistas,TURISTAS,,,,Valor no disponible; el dato no existe,M
Otro,_O,Canarias,ES70,2020 Tercer trimestre,2020-Q3,Total,_T,Turistas,TURISTAS,216884,,,,
Otro,_O,Canarias,ES70,2020 Cuarto trimestre,2020-Q4,Total,_T,Turistas,TURISTAS,192322,,,,
Otro,_O,Canarias,ES70,2020,2020,Total,_T,Turistas,TURISTAS,1532293,,,,
Otro,_O,Canarias,ES70,2021 Primer trimestre,2021-Q1,Total,_T,Turistas,TURISTAS,164141,,,,
Otro,_O,Canarias,ES70,2021 Segundo trimestre,2021-Q2,Total,_T,Turistas,TURISTAS,292031,,,,
Otro,_O,Canarias,ES70,2021 Tercer trimestre,2021-Q3,Total,_T,Turistas,TURISTAS,684375,,,,
Otro,_O,Canarias,ES70,2021 Cuarto trimestre,2021-Q4,Total,_T,Turistas,TURISTAS,1194357,,,,
Otro,_O,Canarias,ES70,2021,2021,Total,_T,Turistas,TURISTAS,2334904,,,,
Otro,_O,Canarias,ES70,2022 Primer trimestre,2022-Q1,Total,_T,Turistas,TURISTAS,1226966,,,,
Otro,_O,Canarias,ES70,2022 Segundo trimestre,2022-Q2,Total,_T,Turistas,TURISTAS,1050037,,,,
Otro,_O,Canarias,ES70,2022 Tercer trimestre,2022-Q3,Total,_T,Turistas,TURISTAS,1039281,,,,
Otro,_O,Canarias,ES70,2022 Cuarto trimestre,2022-Q4,Total,_T,Turistas,TURISTAS,1461004,,,,
Otro,_O,Canarias,ES70,2022,2022,Total,_T,Turistas,TURISTAS,4777287,,,,
Otro,_O,Canarias,ES70,2023 Primer trimestre,2023-Q1,Total,_T,Turistas,TURISTAS,1555598,,,,
Otro,_O,Canarias,ES70,2023 Segundo trimestre,2023-Q2,Total,_T,Turistas,TURISTAS,1045653,,,,
Otro,_O,Canarias,ES70,2023 Tercer trimestre,2023-Q3,Total,_T,Turistas,TURISTAS,1084124,,,,
Otro,_O,Canarias,ES70,2023 Cuarto trimestre,2023-Q4,Total,_T,Turistas,TURISTAS,1606780,,,,
Otro,_O,Canarias,ES70,2023,2023,Total,_T,Turistas,TURISTAS,5292156,,,,
Otro,_O,Canarias,ES70,2024 Primer trimestre,2024-Q1,Total,_T,Turistas,TURISTAS,1771668,,,,
Otro,_O,Canarias,ES70,2024 Segundo trimestre,2024-Q2,Total,_T,Turistas,TURISTAS,1128492,,,,
Otro,_O,Canarias,ES70,2024 Tercer trimestre,2024-Q3,Total,_T,Turistas,TURISTAS,1200860,,,,
Otro,_O,Canarias,ES70,2024 Cuarto trimestre,2024-Q4,Total,_T,Turistas,TURISTAS,1751505,,,,
Otro,_O,Canarias,ES70,2024,2024,Total,_T,Turistas,TURISTAS,5852525,,,,
Otro,_O,Canarias,ES70,2025 Primer trimestre,2025-Q1,Total,_T,Turistas,TURISTAS,1848464,,,,
Otro,_O,Canarias,ES70,2025 Segundo trimestre,2025-Q2,Total,_T,Turistas,TURISTAS,1272956,,,,
Otro,_O,Canarias,ES70,2025 Tercer trimestre,2025-Q3,Total,_T,Turistas,TURISTAS,1304350,,,,
Otro,_O,Canarias,ES70,2025 Cuarto trimestre,2025-Q4,Total,_T,Turistas,TURISTAS,1793091,,,,
Otro,_O,Canarias,ES70,2025,2025,Total,_T,Turistas,TURISTAS,6219678,,,,
Reino Unido,GB,Canarias,ES70,2018 Primer trimestre,2018-Q1,Total,_T,Turistas,TURISTAS,1057390,,,,
Reino Unido,GB,Canarias,ES70,2018 Segundo trimestre,2018-Q2,Total,_T,Turistas,TURISTAS,1026961,,,,
Reino Unido,GB,Canarias,ES70,2018 Tercer trimestre,2018-Q3,Total,_T,Turistas,TURISTAS,1055559,,,,
Reino Unido,GB,Canarias,ES70,2018 Cuarto trimestre,2018-Q4,Total,_T,Turistas,TURISTAS,1138559,,,,
Reino Unido,GB,Canarias,ES70,2018,2018,Total,_T,Turistas,TURISTAS,4278469,,,,
